price,surface,piece,rooms,bathroom,address,description,more_features_1_dict,more_features_2_dict
9 000 000 DH,462 m²,,,,Riviera à Casablanca,"A vendre Terrain R3 464m² Riviera
A vendre un terrain en R3 au quartier Riviera façade 20m² dans une rue large.",{'Type de bien\nTerrain': 'Type de bien\nTerrain'},{}
17 400 000 DH,660 m²,,,,Palmier à Casablanca,"A vendre Terrain Angle R4 660m² PALMIER
A vendre Terrain Angle R4 660m²
A vendre un terrain de 660m² d 'angle sur le quartier Palmier sur une artère large.
recul de 4m.
Hauteur R4.
Bonne rentabilité.",{'Type de bien\nTerrain': 'Type de bien\nTerrain'},{}
35 000 000 DH,4000 m²,,,,Tantonville à Casablanca,"A vendre Terrain 4000M² BD MOUDIBOUKITA
A vendre un terrain de 4000m² avec 2 façade dur le BD MOUDIBOUKAITA POLO .
Zone D2

Activité : Résidentiel ou bureau",{'Type de bien\nTerrain': 'Type de bien\nTerrain'},{}
30 000 000 DH,3500 m²,,,,Aïn Sebaâ à Casablanca,"A vendre Terrain 3500M² AIN SEBAA B4
A vendre Terrain 3500M² AIN SEBAA B4
A vendre un terrain Angle de 3500m² avec 2 façades Sur le le quartier de Ain Sebaa.
Zone B4
Hauteur R4
Recul : 4m

Orientation : SUD et EST .
Activité : Résidentiel ou bureau",{'Type de bien\nTerrain': 'Type de bien\nTerrain'},{}
9 400 000 DH,600 m²,7 Pièces,4 Chambres,4 Salles de bains,Californie à Casablanca,"A Vendre Villa isolée Californie 600m²
A Vendre Villa isolée Californie 600m²

Imvalory vous propose une coquête villa Isolée au quartier CALIFORNIE avec Piscine.
Le bien se situe proche du boulevard de Fes et du boulevard Taddert

Terrain 600m²
Construit : 500m²

Orientation : SUD

La villa est construite sur 3 niveaux.

A l'étage: un hall, 4 grandes chambres et 4 salles de bain dont une suite parentale avec dressing et grande terrasse.
Au Rdc: un hall d'entrée, un grand salon marocain, un grand salon européen, séjour, cuisine et salle d'eau invités.
Sous-sol: débarras, salle de jeux
Extérieur: jardin avec grande piscine et 4 terrasses, chambre pour le personnel et grand garage
RDC : 3 Salons, 1 coin cheminé, 1 coin télé, 1 salle à manger, 1 salle de bain et 1 cuisine.
Etage :1 spacieuse suite parentale avec un dressing, placards et sa salle de bain, 3 chambres, une salle de bain et Triple balcon.
Dependance de personnel avec un garge pour 2 voitures.","{'Type de bien\nMaison': 'Type de bien\nMaison', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Piscine': 'Piscine', 'Chambre rangement': 'Chambre rangement', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation', 'Double vitrage': 'Double vitrage'}"
6 200 000 DH,450 m²,9 Pièces,4 Chambres,4 Salles de bains,Ain Chock à Casablanca,"A Vendre Villa Jumelée Californie 450m²
Imvalory vous propose une coquête villa jumelée au quartier CALIFORNIE dans une résidence fermée.
Le bien se situe proche du boulevard de Fes

Terrain 450m²
Construit : 450m²
Prévoir des travaux de rénovations.
Orientation : SUD

La villa est construite sur 3 niveaux.

A l'étage: un hall, 3 chambres et 2 salles de bain et une suite parentale avec dressing et grande terrasse.
Au Rdc: un hall d'entrée, un grand salon marocain, un grand salon européen, séjour, cuisine et salle d'eau invités et séjour.
Sous-sol: débarras, salle de jeux, chambre pour le personnel, 1 salle de bain pour me personnel.
Extérieur: jardin et 1 terrasse.

Garage extérieur : 2 places de garage.","{'Type de bien\nVilla': 'Type de bien\nVilla', 'Etat\nÀ rénover': 'Etat\nÀ rénover', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Chambre rangement': 'Chambre rangement', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Chauffage central': 'Chauffage central'}"
10 000 000 DH,510 m²,,,,Oulfa à Casablanca,"A vendre Terrain 510M² R3 bd Oum Rabii
IMVALORY vous propose une opportunité d'investissement.
Quartier : Quartier OULFA en plein BD OUM RABBII ( TRAM)
TERRAIN avec une façade de 18m.
LINEAIRE COMMERCIAL
Hauteur R3


Orientation : SUD/OUEST.
Activité : COMMERCIALE ET BUREAU.
Prix de vente 10.000.000 dh",{'Type de bien\nTerrain': 'Type de bien\nTerrain'},{}
8 500 000 DH,390 m²,7 Pièces,4 Chambres,4 Salles de bains,Ain Diab Extension à Casablanca,"A Vendre villa Jumelée 390m² Ain diab EXT
Imvalory vous propose une coquête villa jumelée moderne neuve à Ain diab rte azemour.

Accès terrasse et une vue mer.
La villa se trouve dans un complexe résidentiel de luxe composé de 19 villas.
La villa est construite sur un terrain de 390m² et 500m² de construit sur 3 niveaux.
IMPORTANT : les matériaux utilisés sont de très grande qualité.

Orientation : EST/OUEST/SUD

La composition de la villa est la suivante :


RDC : 3 Salons, 1 séjour, 1 salle de bain avec douche, 1 cuisone et un coin cheminée .

Sous sol : Chambre de personnel, salle de bain et salle de sport.
Etage :1 spacieuse suite parentale avec un double dressing et sa salle de bain, 3 suites avec dressing et salle de bain et terrasses.

Prestations: SONO, Climatisation, piscine, veranda à la terrasse pour un salon d'été, Hamam beldi avec système de chauffage","{'Type de bien\nVilla': 'Type de bien\nVilla', 'Etat\nNouveau': 'Etat\nNouveau', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an"", 'Orientation\nOuest': 'Orientation\nOuest', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Vue sur mer': 'Vue sur mer', 'Piscine': 'Piscine', 'Chambre rangement': 'Chambre rangement', 'Salon Marocain': 'Salon Marocain', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation', 'Chauffage central': 'Chauffage central', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée'}"
,186 m²,5 Pièces,3 Chambres,2 Salles de bains,,,{},"{'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', '+ 10 extras': '+ 10 extras', 'Vue sur mer': 'Vue sur mer', '+ 3 extras': '+ 3 extras', 'Salon Marocain': 'Salon Marocain', '+ 6 extras': '+ 6 extras', 'Terrasse': 'Terrasse', '+ 11 extras': '+ 11 extras', 'Cuisine équipée': 'Cuisine équipée', 'Four': 'Four', 'Cheminée': 'Cheminée', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Climatisation': 'Climatisation', 'Chauffage central': 'Chauffage central', 'Sécurité': 'Sécurité', 'Réfrigérateur': 'Réfrigérateur', 'Machine à laver': 'Machine à laver', 'Micro-ondes': 'Micro-ondes', 'Façade extérieure': 'Façade extérieure', 'Porte blindée': 'Porte blindée', 'Double vitrage': 'Double vitrage', 'Chambre rangement': 'Chambre rangement', 'Meublé': 'Meublé'}"
Prix à consulter,188 m²,1 Pièce,3 Chambres,2 Salles de bains,Ain Diab à Casablanca,"Appartement à Ain Diab
Nous mettons en vente un appartement dans une résidence fermée et sécurisé familiale nichée en pleine cœur de Ain Diab au premier étage avec ascenseur.
L'appartement ets de superficie totale de 188.5 m comprend un grand salon avec terrasse, trois chambres deux salles de bains, salle d'eau , une cuisine et une place de garage.
Le prix de vente est 16800 dh/ m.
N.B : l'appartement est semi fini
Pour plus d'informations et/où éventuel visite n'hésitez de contacter , Merci","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nÀ rénover': 'Etat\nÀ rénover'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Piscine': 'Piscine', 'Concierge': 'Concierge'}"
